PROVINCIA;CANTON;PARROQUIA;INCENDIOS;OSOS;ALIMENTACION;Latitud;Longitud;Latitud-2;Longitud-2;TIPO VEGETACION;BIOCLIMA;TIPO_ECOSI;FRAGILIDAD;AREA PROTEGIDA;DEFICIT HIDRICO;YEAR;MONTH;DAY
MANABI;PEDERNALES;ATAHUALPA;NO;NO;Guzmania;0.01666;-79.96666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;850 - 875;1900;1;1
MANABI;PEDERNALES;ATAHUALPA;NO;NO;Guzmania;0.01666;-79.96666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;850 - 875;1900;1;1
COTOPAXI;PUJILI;ANGAMARCA;NO;NO;Puya;-1.06666;-78.88333;0;0;VEGETACION ARBUSTIVA Y HERBACEA;PLUVIAL;ECOSISTEMA TERRESTRE;MEDIA;NO DEFINIDA;140 - 150;1900;1;1
MANABI;PEDERNALES;ATAHUALPA;NO;NO;Guzmania;0.01666;-79.96666;0;0;BOSQUE;PLUVIESTACIONAL;ECOSISTEMA TERRESTRE;BAJA;NO DEFINIDA;850 - 875;1900;1;1
NAPO;TENA;PANO;NO;NO;Aechmea;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Aechmea;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Aechmea;-1.03;-77.92;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Aechmea;-1.03;-77.92;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Catopsis;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Guzmania;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Guzmania;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Guzmania;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Guzmania;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;No Encontrada;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Neoregelia;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Pitcairnia;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Racinaea;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
NAPO;TENA;PANO;NO;NO;Tillandsia;-1.03333;-77.91666;0;0;BOSQUE;PLUVIAL;ECOSISTEMA TERRESTRE;MUY ALTA;NO DEFINIDA;000 - 000;1900;1;1
